model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,test,T,10,1.97188696834687,2.31107569276243,0.618395333370702,0.724766909266044,0.139193953664024,0.0991545343575041,0.708433809149442,0.564055788648482
linear-california,train,E,10,2.17697615567823,4.50135675468333,0.647640281249589,1.33913269881434,0.113383867957527,0.0110939345751669,0.657201266059227,0.412020698252859
linear-california,train,T,10,2.18588316137738,4.60608877867013,0.654666752370818,1.37951251702013,0.112378441516055,0.0099908182909506,0.680930617020863,0.440958936785062
linear-california,union,E,10,2.21552994958533,4.53164568866491,0.653960896679559,1.33761183347941,0.109095683713839,0.0107629490269301,0.640972172723369,0.401580812047483
linear-california,union,T,10,2.22414349874207,4.6378234844204,0.660322472156003,1.37691613440757,0.108160018164978,0.00967874064881184,0.667946466088253,0.432475603268115
linear-california,test,E,11,1.92206328906156,2.22865917776227,0.602410875751296,0.698503808208332,0.146304781439298,0.107672703346859,0.684968789540907,0.273224361018563
linear-california,test,T,11,1.98800855091158,3.8911703197524,0.62345115633855,1.22029386354876,0.136967918664048,0.0204214324416314,0.70908253572746,0.267649510479528
linear-california,train,E,11,2.23526940596346,4.06871162467152,0.664982252088915,1.21042278485811,0.106963309417662,0.017099404773074,0.660061238959558,0.389990792335715
linear-california,train,T,11,2.26451019618735,4.65350929659456,0.67821536029145,1.39371484814828,0.103880903344433,0.00952810624098017,0.675779045157103,0.411546106519405
linear-california,union,E,11,2.27424424867276,4.3654199896872,0.671291673763533,1.28854677472225,0.102874626699414,0.0127093162724203,0.643697941916159,0.35534019315316
linear-california,union,T,11,2.3018183913283,5.81952208276093,0.683383249091486,1.7277487763845,0.100076699565659,0.00296902375340015,0.662883681377144,0.353380356492269
linear-california,test,E,12,1.9038599809716,1.89554722804241,0.596705615768208,0.594100242261271,0.148992400011528,0.150236099141124,0.685140197615991,0.547089022517456
linear-california,test,T,12,1.9709026597149,2.42006974663772,0.618086648403269,0.758948084639466,0.139331030926232,0.0889154156918269,0.708162503611742,0.474766283131157
linear-california,train,E,12,2.18644672333864,3.29851169264801,0.650457731081174,0.981291887262805,0.112315127143613,0.0369381017599127,0.664014955931549,0.453562149550693
